Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
enableRecoveryMode(),StablePool,20220609-stable-pool-v2,['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888'],['UNDEF']
enableRecoveryMode(),WeightedPool,20220908-weighted-pool-v2,"['0x1b300C86980a5195bCF49bD419A068D98dC133Db', '0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),WeightedPool,20230206-weighted-pool-v3,"['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888', '0x1b300C86980a5195bCF49bD419A068D98dC133Db']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),WeightedPool,20230320-weighted-pool-v4,"['0xA29F61256e948F3FB707b4b3B138C5cCb9EF9888', '0x1b300C86980a5195bCF49bD419A068D98dC133Db']","['UNDEF', 'UNDEF']"
enableRecoveryMode(),YearnLinearPool,20230409-yearn-linear-pool-v2,['0x1b300C86980a5195bCF49bD419A068D98dC133Db'],['UNDEF']
"exitPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0xdcdbf71A870cc60C6F9B621E28a7D3Ffd6Dd4965', '0xAc9f49eF3ab0BbC929f7b1bb0A17E1Fca5786251', '0x886A3Ec7bcC508B8795990B60Fa21f85F9dB7948', '0x2536dfeeCB7A0397CF98eDaDA8486254533b1aFA', '0xfeA793Aa415061C483D2390414275AD314B3F621', '0xE0Ca4DAc40d44D737f0d02B1F2B2D969731eCda9']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0xdcdbf71A870cc60C6F9B621E28a7D3Ffd6Dd4965', '0xAc9f49eF3ab0BbC929f7b1bb0A17E1Fca5786251', '0x886A3Ec7bcC508B8795990B60Fa21f85F9dB7948', '0x2536dfeeCB7A0397CF98eDaDA8486254533b1aFA', '0xfeA793Aa415061C483D2390414275AD314B3F621', '0xE0Ca4DAc40d44D737f0d02B1F2B2D969731eCda9']","['UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF', 'UNDEF']"
killGauge(),ArbitrumRootGauge,20220413-arbitrum-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),ArbitrumRootGauge,20220823-arbitrum-root-gauge-factory-v2,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),AvalancheRootGauge,20230529-avalanche-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),GnosisRootGauge,20230217-gnosis-root-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
killGauge(),LiquidityGaugeV5,20220325-mainnet-gauge-factory,['0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f'],['UNDEF']
