Fx,Contract,Deployment,Authorized_Caller_Addresses,Authorized_Caller_Names
"joinPool(bytes32,address,address,(address[],uint256[],bytes,bool))",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
"manageUserBalance((uint8,address,uint256,address,address)[])",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
notify_reward_amount(address),ChildChainStreamer,20220413-child-chain-gauge-factory,['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab'],['multisigs/blabs_ops']
pause(),AaveLinearPool,20220817-aave-rebalanced-linear-pool,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),ComposableStablePool,20220906-composable-stable-pool,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),ComposableStablePool,20221122-composable-stable-pool-v2,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),ComposableStablePool,20230206-composable-stable-pool-v3,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),ComposableStablePool,20230320-composable-stable-pool-v4,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),ManagedPool,20230411-managed-pool-v2,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),WeightedPool,20220908-weighted-pool-v2,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),WeightedPool,20230206-weighted-pool-v3,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
pause(),WeightedPool,20230320-weighted-pool-v4,['0xd4c87b33afcE39F1E3F4aF1ce8fFFF7241d9128B'],['multisigs/emergency']
"registerProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
removePoolFactory(address),PoolRecoveryHelper,20221123-pool-recovery-helper,['0xFB2ac3989B6AD0e043a8958004484d6BAAb2c6Ab'],['multisigs/blabs_ops']
"renameProtocolId(uint256,string)",ProtocolIdRegistry,20230223-protocol-id-registry,['0x09Df1626110803C7b3b07085Ef1E053494155089'],['multisigs/lm']
"setFeeTypePercentage(uint256,uint256)",ProtocolFeePercentagesProvider,20220725-protocol-fee-percentages-provider,['0x043f9687842771b3dF8852c1E9801DCAeED3f6bc'],['multisigs/dao']
setFlashLoanFeePercentage(uint256),ProtocolFeesCollector,20210418-vault,['0xacAaC3e6D6Df918Bf3c809DFC7d42de0e4a72d4C'],['20220725-protocol-fee-percentages-provider/ProtocolFeePercentagesProvider']
"setRelayerApproval(address,address,bool)",Vault,20210418-vault,"['0x195CcCBE464EF9073d1f7A1ba1C9Bf0f56dfFFff', '0x1a58897Ab366082028ced3740900ecBD765Af738', '0x03F1ab8b19bcE21EB06C364aEc9e40322572a1e9']","['20220720-batch-relayer-v3/BalancerRelayer', '20220916-batch-relayer-v4/BalancerRelayer', '20230314-batch-relayer-v5/BalancerRelayer']"
